validation_event,gradient_weight,outcome_weight,matches,mean_score_points,mean_outcome_points,mean_total_points
2021 Euro/Copa,0.45,0.0,79,7.7215189873417724,22.27848101265823,30.0
2021 Euro/Copa,0.45,0.1,79,7.7215189873417724,22.78481012658228,30.50632911392405
2021 Euro/Copa,0.45,0.2,79,7.7215189873417724,23.29113924050633,31.0126582278481
2021 Euro/Copa,0.45,0.3,79,7.7215189873417724,23.79746835443038,31.51898734177216
2021 Euro/Copa,0.45,0.4,79,7.7215189873417724,23.79746835443038,31.51898734177216
2021 Euro/Copa,0.45,0.6,79,7.7215189873417724,23.79746835443038,31.51898734177216
2021 Euro/Copa,0.6,0.0,79,7.594936708860759,22.27848101265823,29.873417721518987
2021 Euro/Copa,0.6,0.1,79,7.594936708860759,22.27848101265823,29.873417721518987
2021 Euro/Copa,0.6,0.2,79,7.594936708860759,22.78481012658228,30.37974683544304
2021 Euro/Copa,0.6,0.3,79,7.594936708860759,23.29113924050633,30.88607594936709
2021 Euro/Copa,0.6,0.4,79,7.594936708860759,23.79746835443038,31.39240506329114
2021 Euro/Copa,0.6,0.6,79,7.594936708860759,23.79746835443038,31.39240506329114
2022 AFCON,0.0,0.0,52,7.019230769230769,19.23076923076923,26.25
2022 AFCON,0.0,0.1,52,7.019230769230769,19.23076923076923,26.25
2022 AFCON,0.0,0.2,52,7.019230769230769,18.46153846153846,25.48076923076923
2022 AFCON,0.0,0.3,52,7.019230769230769,18.46153846153846,25.48076923076923
2022 AFCON,0.0,0.4,52,7.019230769230769,18.46153846153846,25.48076923076923
2022 AFCON,0.0,0.6,52,7.019230769230769,18.46153846153846,25.48076923076923
2022 AFCON,0.05,0.0,52,6.538461538461538,19.23076923076923,25.76923076923077
2022 AFCON,0.05,0.1,52,6.538461538461538,18.46153846153846,25.0
2022 AFCON,0.05,0.2,52,6.538461538461538,18.46153846153846,25.0
2022 AFCON,0.05,0.3,52,6.538461538461538,18.46153846153846,25.0
2022 AFCON,0.05,0.4,52,6.538461538461538,18.46153846153846,25.0
2022 AFCON,0.05,0.6,52,6.538461538461538,18.46153846153846,25.0
2022 AFCON,0.1,0.0,52,6.153846153846154,19.23076923076923,25.384615384615383
2022 AFCON,0.1,0.1,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.1,0.2,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.1,0.3,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.1,0.4,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.1,0.6,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.15,0.0,52,6.153846153846154,20.0,26.15384615384616
2022 AFCON,0.15,0.1,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.15,0.2,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.15,0.3,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.15,0.4,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.15,0.6,52,6.153846153846154,18.46153846153846,24.615384615384617
2022 AFCON,0.3,0.0,52,4.326923076923077,19.23076923076923,23.557692307692307
2022 AFCON,0.3,0.1,52,4.326923076923077,18.46153846153846,22.78846153846154
2022 AFCON,0.3,0.2,52,4.326923076923077,18.46153846153846,22.78846153846154
2022 AFCON,0.3,0.3,52,4.326923076923077,18.46153846153846,22.78846153846154
2022 AFCON,0.3,0.4,52,4.326923076923077,18.46153846153846,22.78846153846154
2022 AFCON,0.3,0.6,52,4.326923076923077,18.46153846153846,22.78846153846154
2022 AFCON,0.45,0.0,52,3.8461538461538463,19.23076923076923,23.07692307692308
2022 AFCON,0.45,0.1,52,3.8461538461538463,19.23076923076923,23.07692307692308
2022 AFCON,0.45,0.2,52,3.8461538461538463,17.692307692307693,21.53846153846154
2022 AFCON,0.45,0.3,52,3.8461538461538463,17.692307692307693,21.53846153846154
2022 AFCON,0.45,0.4,52,3.8461538461538463,18.46153846153846,22.307692307692307
2022 AFCON,0.45,0.6,52,3.8461538461538463,18.46153846153846,22.307692307692307
2022 AFCON,0.6,0.0,52,5.1923076923076925,18.46153846153846,23.65384615384616
2022 AFCON,0.6,0.1,52,5.1923076923076925,18.46153846153846,23.65384615384616
2022 AFCON,0.6,0.2,52,5.1923076923076925,18.46153846153846,23.65384615384616
2022 AFCON,0.6,0.3,52,5.1923076923076925,17.692307692307693,22.884615384615383
2022 AFCON,0.6,0.4,52,5.1923076923076925,18.46153846153846,23.65384615384616
2022 AFCON,0.6,0.6,52,5.1923076923076925,18.46153846153846,23.65384615384616
2022 World Cup,0.0,0.0,64,5.78125,19.375,25.15625
2022 World Cup,0.0,0.1,64,5.78125,20.625,26.40625
2022 World Cup,0.0,0.2,64,5.78125,20.625,26.40625
2022 World Cup,0.0,0.3,64,5.78125,20.625,26.40625
2022 World Cup,0.0,0.4,64,5.78125,20.0,25.78125
2022 World Cup,0.0,0.6,64,5.78125,20.0,25.78125
2022 World Cup,0.05,0.0,64,5.78125,19.375,25.15625
2022 World Cup,0.05,0.1,64,5.78125,20.625,26.40625
